2.910949e-04,7.352220e-02,9.900000e+37,9.900000e+37 
3.527426e-04,-7.126905e-02,1.152534e+04 
3.522850e-04,-7.125887e-02,1.150734e+04 
3.525375e-04,-7.124330e-02,1.150699e+04 
3.527680e-04,-7.116370e-02,1.150679e+04 
3.529630e-04,-7.115840e-02,1.150662e+04 
3.532943e-04,-7.121631e-02,1.150650e+04 
3.524918e-04,-7.131462e-02,1.147258e+04 
3.528876e-04,-7.124025e-02,1.147260e+04 
3.527839e-04,-7.111198e-02,1.147266e+04 
3.530623e-04,-7.128017e-02,1.147276e+04 
3.530049e-04,-7.130431e-02,1.139832e+04 
3.531362e-04,-7.123773e-02,1.139846e+04 
3.532190e-04,-7.141711e-02,1.139877e+04 
3.535127e-04,-7.118620e-02,1.139905e+04 
9.910000e+37 
3.536798e-04,-7.163173e-02,1.134863e+04 
3.538834e-04,-7.152992e-02,1.134890e+04 
-1.974022e-05,-7.169465e-02,1.135120e+04 
2.563832e-05,-7.155646e-02,1.135061e+04 
2.545038e-05,-7.156185e-02,1.135012e+04 
2.567261e-05,-7.150523e-02,1.134969e+04 
